                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.52461,                0.60591,                 1.0552,                0.89588,                 0.5665,                0.62287,                0.50151,                0.75154,                 1.0423,                 1.1809,              0.0004085,              0.0004085,              0.0004085
                     70,                0.52986,                0.61103,                 1.0668,                0.61924,                 0.5847,                0.62493,                0.49531,                0.76776,                 1.0089,                 1.1882,             0.00039613,             0.00039613,             0.00039613
                     71,                0.52141,                0.61207,                 1.0571,                 0.6404,                0.59039,                0.62992,                0.51699,                0.71877,                0.99315,                  1.172,             0.00038375,             0.00038375,             0.00038375
                     72,                0.52259,                0.58407,                   1.06,                0.64572,                0.59373,                0.63745,                0.51091,                0.73359,                 0.9874,                 1.1629,             0.00037138,             0.00037138,             0.00037138
                     73,                0.52262,                0.61739,                 1.0708,                0.62412,                0.56685,                0.62063,                0.49817,                0.74998,                 1.0241,                 1.1795,               0.000359,               0.000359,               0.000359
                     74,                0.51286,                0.58416,                 1.0511,                0.88008,                 0.5874,                0.62723,                0.49509,                0.77354,                 1.0184,                 1.1882,             0.00034663,             0.00034663,             0.00034663
                     75,                0.51737,                0.57865,                 1.0568,                0.64958,                 0.5673,                0.62431,                0.50004,                0.75612,                 1.0395,                 1.1865,             0.00033425,             0.00033425,             0.00033425
                     76,                0.53082,                0.58266,                  1.068,                0.62556,                0.57777,                0.62901,                0.50627,                0.75308,                0.99199,                 1.1929,             0.00032188,             0.00032188,             0.00032188
                     77,                0.51118,                0.56893,                 1.0491,                0.89358,                0.57947,                0.62662,                 0.5053,                0.75226,                 1.0164,                  1.205,              0.0003095,              0.0003095,              0.0003095
                     78,                0.50769,                 0.5513,                 1.0489,                0.90645,                0.55465,                 0.6245,                  0.502,                0.75309,                 1.0042,                 1.1822,             0.00029713,             0.00029713,             0.00029713
