lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,hu_moment0,hu_moment1,hu_moment2,hu_moment3,hu_moment4,hu_moment5,hu_moment6,mean_edge,std_dev_edge
7.6e-05,0.001272,0.0,0.013644,0.0,0.03142,0.0,0.013116,0.940472,0.0010736239225330778,6.147317258133469e-08,6.814267610121309e-11,5.61564224079886e-12,-9.351597002291921e-23,5.019844655785089e-16,-5.763912029610721e-23,98.39660808071054,285.8914023160037
8e-06,0.000224,0.0,0.002728,0.0,0.013468,0.0,0.002888,0.980684,0.0007307044849851061,8.240806450030893e-08,1.380178585495186e-12,4.860909239267206e-13,-2.8770828708097187e-25,9.71052767199752e-18,2.7521866418138527e-25,33.11319615948708,175.48771421413903
3.2e-05,0.000316,0.0,0.004036,0.0,0.006048,0.0,0.00372,0.985848,0.0006575447189489934,2.0721945533312634e-08,1.4560347050598582e-12,1.9830691572880178e-14,2.914107609773459e-27,2.7307049890595357e-18,1.6920191907280245e-27,24.02169381241516,146.02882806618211
0.000196,0.0015,0.0,0.01154,0.0,0.019012,0.0,0.010404,0.957348,0.0008664904089046554,7.827634415539354e-08,1.791884314562663e-11,1.1305542543223163e-11,-2.3134291202612014e-23,-1.0930719791405866e-15,-1.592416817871662e-22,70.16994824278922,241.6848542288165
1.6e-05,0.000184,0.0,0.002224,0.0,0.005092,0.0,0.002308,0.990176,0.0007317075865118337,1.341195847520506e-07,2.1993925453446593e-12,1.0222272760839364e-13,1.2784058860132947e-26,4.7184380427793855e-18,-4.675365113432409e-26,14.106592310391763,112.55519203212438
6.4e-05,0.000904,0.0,0.00782,0.0,0.017816,0.0,0.006596,0.9668,0.0008229090411464059,2.8754512889468893e-09,8.161062512055308e-11,2.4055121834406436e-11,-8.817137468637799e-22,-7.895133514765619e-16,-5.987966873995093e-22,58.60089346948555,226.27978540863523
8.4e-05,0.000768,0.0,0.005616,0.0,0.01648,0.0,0.005444,0.971608,0.0010682622722431364,8.455550124082822e-08,2.2046853399386078e-10,3.6809597506299003e-11,-1.983492902902054e-21,-2.7884122070410643e-15,2.6573730574139745e-21,42.4880809101203,192.9765130283348
4.4e-05,0.000664,0.0,0.006212,0.0,0.010712,0.0,0.005964,0.976404,0.0007818790507775958,1.1161359895748765e-07,3.7498716401943e-12,4.950047169556615e-12,1.8205786475692337e-23,3.5475762801379694e-16,1.1107404230608058e-23,37.465697540773384,180.16165049139423
2.8e-05,0.000292,0.0,0.003944,0.0,0.006224,0.0,0.003916,0.985596,0.0006659157776853573,2.670098481822643e-08,1.5850357296963334e-11,2.4554271199756496e-13,1.689880112756026e-25,2.8609573704628074e-17,-4.539745136353968e-25,23.454136182196912,144.16416162121212
4.8e-05,0.00038,0.0,0.003348,0.0,0.00636,0.0,0.003456,0.986408,0.0006504364947453032,2.2733360925051337e-08,3.583687597639846e-13,6.709580934934588e-15,3.1737991465359493e-28,9.165169160871143e-19,8.67012404053807e-29,21.86141728054509,139.05573139747202
